Item Id,quote_year,Regions,Price,Mth,Yr,Date,
640226,2013,London,686,January,2013,January 2013,
640226,2013,Rest of the UK,417,January,2013,January 2013,
640226,2013,London,684,February,2013,February 2013,
640226,2013,Rest of the UK,415,February,2013,February 2013,
640226,2013,London,686,March,2013,March 2013,
640226,2013,Rest of the UK,414,March,2013,March 2013,
640226,2013,London,686,April,2013,April 2013,
640226,2013,Rest of the UK,411,April,2013,April 2013,
640226,2013,London,688,May,2013,May 2013,
640226,2013,Rest of the UK,413,May,2013,May 2013,
640226,2013,London,696,June,2013,June 2013,
640226,2013,Rest of the UK,413,June,2013,June 2013,
640226,2013,London,696,July,2013,July 2013,
640226,2013,Rest of the UK,407,July,2013,July 2013,
640226,2013,London,696,August,2013,August 2013,
640226,2013,Rest of the UK,405,August,2013,August 2013,
640226,2013,London,699,September,2013,September 2013,
640226,2013,Rest of the UK,409,September,2013,September 2013,
640226,2013,London,705,October,2013,October 2013,
640226,2013,Rest of the UK,407,October,2013,October 2013,
640226,2013,London,706,November,2013,November 2013,
640226,2013,Rest of the UK,404,November,2013,November 2013,
640226,2013,London,706,December,2013,December 2013,
640226,2013,Rest of the UK,407,December,2013,December 2013,
640226,2014,London,706,January,2014,January 2014,
640226,2014,Rest of the UK,409,January,2014,January 2014,
640226,2014,London,705,February,2014,February 2014,
640226,2014,Rest of the UK,409,February,2014,February 2014,
640226,2014,London,716,March,2014,March 2014,
640226,2014,Rest of the UK,412,March,2014,March 2014,
640226,2014,London,718,April,2014,April 2014,
640226,2014,Rest of the UK,417,April,2014,April 2014,
640226,2014,London,718,May,2014,May 2014,
640226,2014,Rest of the UK,417,May,2014,May 2014,
640226,2014,London,718,June,2014,June 2014,
640226,2014,Rest of the UK,417,June,2014,June 2014,
640226,2014,London,718,July,2014,July 2014,
640226,2014,Rest of the UK,415,July,2014,July 2014,
640226,2014,London,718,August,2014,August 2014,
640226,2014,Rest of the UK,416,August,2014,August 2014,
640226,2014,London,724,September,2014,September 2014,
640226,2014,Rest of the UK,416,September,2014,September 2014,
640226,2014,London,724,October,2014,October 2014,
640226,2014,Rest of the UK,412,October,2014,October 2014,
640226,2014,London,726,November,2014,November 2014,
640226,2014,Rest of the UK,414,November,2014,November 2014,
640226,2014,London,726,December,2014,December 2014,
640226,2014,Rest of the UK,414,December,2014,December 2014,
640226,2015,London,722,January,2015,January 2015,
640226,2015,Rest of the UK,418,January,2015,January 2015,
640226,2015,London,705,February,2015,February 2015,
640226,2015,Rest of the UK,420,February,2015,February 2015,
640226,2015,London,706,March,2015,March 2015,
640226,2015,Rest of the UK,420,March,2015,March 2015,
640226,2015,London,706,April,2015,April 2015,
640226,2015,Rest of the UK,419,April,2015,April 2015,
640226,2015,London,710,May,2015,May 2015,
640226,2015,Rest of the UK,422,May,2015,May 2015,
640226,2015,London,731,June,2015,June 2015,
640226,2015,Rest of the UK,415,June,2015,June 2015,
640226,2015,London,731,July,2015,July 2015,
640226,2015,Rest of the UK,414,July,2015,July 2015,
640226,2015,London,707,August,2015,August 2015,
640226,2015,Rest of the UK,412,August,2015,August 2015,
640226,2015,London,707,September,2015,September 2015,
640226,2015,Rest of the UK,411,September,2015,September 2015,
640226,2015,London,707,October,2015,October 2015,
640226,2015,Rest of the UK,412,October,2015,October 2015,
640226,2015,London,709,November,2015,November 2015,
640226,2015,Rest of the UK,413,November,2015,November 2015,
640226,2015,London,709,December,2015,December 2015,
640226,2015,Rest of the UK,418,December,2015,December 2015,
640226,2016,London,709,January,2016,January 2016,
640226,2016,Rest of the UK,411,January,2016,January 2016,
640226,2016,London,706,February,2016,February 2016,
640226,2016,Rest of the UK,422,February,2016,February 2016,
640226,2016,London,712,March,2016,March 2016,
640226,2016,Rest of the UK,423,March,2016,March 2016,
640226,2016,London,714,April,2016,April 2016,
640226,2016,Rest of the UK,426,April,2016,April 2016,
640226,2016,London,714,May,2016,May 2016,
640226,2016,Rest of the UK,422,May,2016,May 2016,
640226,2016,London,714,June,2016,June 2016,
640226,2016,Rest of the UK,425,June,2016,June 2016,
640226,2016,London,717,July,2016,July 2016,
640226,2016,Rest of the UK,419,July,2016,July 2016,
640226,2016,London,717,August,2016,August 2016,
640226,2016,Rest of the UK,417,August,2016,August 2016,
640226,2016,London,717,September,2016,September 2016,
640226,2016,Rest of the UK,424,September,2016,September 2016,
640226,2016,London,721,October,2016,October 2016,
640226,2016,Rest of the UK,427,October,2016,October 2016,
640226,2016,London,729,November,2016,November 2016,
640226,2016,Rest of the UK,424,November,2016,November 2016,
640226,2016,London,732,December,2016,December 2016,
640226,2016,Rest of the UK,435,December,2016,December 2016,
640226,2017,London,740,January,2017,January 2017,
640226,2017,Rest of the UK,434,January,2017,January 2017,
640226,2017,London,772,February,2017,February 2017,
640226,2017,Rest of the UK,434,February,2017,February 2017,
640226,2017,London,726,March,2017,March 2017,
640226,2017,Rest of the UK,430,March,2017,March 2017,
640226,2017,London,726,April,2017,April 2017,
640226,2017,Rest of the UK,421,April,2017,April 2017,
640226,2017,London,718,May,2017,May 2017,
640226,2017,Rest of the UK,421,May,2017,May 2017,
640226,2017,London,704,June,2017,June 2017,
640226,2017,Rest of the UK,421,June,2017,June 2017,
640226,2017,London,704,July,2017,July 2017,
640226,2017,Rest of the UK,420,July,2017,July 2017,
640226,2017,London,704,August,2017,August 2017,
640226,2017,Rest of the UK,423,August,2017,August 2017,
640226,2017,London,703,September,2017,September 2017,
640226,2017,Rest of the UK,426,September,2017,September 2017,
640226,2017,London,704,October,2017,October 2017,
640226,2017,Rest of the UK,426,October,2017,October 2017,
640226,2017,London,704,November,2017,November 2017,
640226,2017,Rest of the UK,426,November,2017,November 2017,
640226,2017,London,661,December,2017,December 2017,
640226,2017,Rest of the UK,430,December,2017,December 2017,
640226,2018,London,725,January,2018,January 2018,
640226,2018,Rest of the UK,428,January,2018,January 2018,
640226,2018,London,740,February,2018,February 2018,
640226,2018,Rest of the UK,432,February,2018,February 2018,
640226,2018,London,723,March,2018,March 2018,
640226,2018,Rest of the UK,425,March,2018,March 2018,
640226,2018,London,723,April,2018,April 2018,
640226,2018,Rest of the UK,419,April,2018,April 2018,
640226,2018,London,723,May,2018,May 2018,
640226,2018,Rest of the UK,421,May,2018,May 2018,
640226,2018,London,750,June,2018,June 2018,
640226,2018,Rest of the UK,427,June,2018,June 2018,
640226,2018,London,717,July,2018,July 2018,
640226,2018,Rest of the UK,427,July,2018,July 2018,
640226,2018,London,717,August,2018,August 2018,
640226,2018,Rest of the UK,434,August,2018,August 2018,
640226,2018,London,717,September,2018,September 2018,
640226,2018,Rest of the UK,426,September,2018,September 2018,
640226,2018,London,717,October,2018,October 2018,
640226,2018,Rest of the UK,432,October,2018,October 2018,
640226,2018,London,738,November,2018,November 2018,
640226,2018,Rest of the UK,429,November,2018,November 2018,
640226,2018,London,738,December,2018,December 2018,
