,predicted,position,first_name,second_name,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,influence,creativity,threat
21,DEF,DEF,Ben,Chilwell,5.8,32,415,1,2,2,1,0,0,88.8,43.9,50.0
83,DEF,DEF,Ryan,Sessegnon,4.5,32,685,2,1,1,3,0,0,136.6,87.3,265.0
116,DEF,DEF,César,Azpilicueta,4.8,32,798,0,0,3,3,0,4,171.2,149.7,67.0
186,DEF,DEF,Neco,Williams,4.0,32,1094,0,1,3,3,0,1,223.0,206.5,155.0
166,DEF,DEF,Jonathan,Castro Otto,4.4,32,1004,0,0,4,3,0,0,169.0,85.1,68.0
199,DEF,MID,Cheick,Doucouré,5.0,31,1181,0,1,2,4,0,2,205.2,149.1,74.0
121,DEF,MID,Ryan,Christie,5.3,31,823,1,0,1,1,0,2,129.2,120.2,220.0
19,DEF,FWD,Anthony,Martial,6.6,31,412,3,2,3,0,0,1,153.8,72.6,178.0
34,DEF,MID,Frederico,Rodrigues de Paula Santos,5.1,30,456,2,1,2,3,0,2,134.2,176.5,149.0
105,DEF,DEF,Nathan,Aké,5.0,30,750,0,0,3,0,0,1,145.6,64.8,62.0
92,DEF,DEF,Rayan,Aït-Nouri,4.2,30,713,1,0,3,2,0,0,133.2,121.1,120.0
126,MID,MID,Jesse,Lingard,5.4,30,858,0,1,5,1,0,0,44.4,139.0,123.0
84,MID,MID,Adama,Traoré Diarra,5.5,29,690,1,1,1,0,0,0,112.2,185.4,97.0
89,DEF,MID,Gonçalo Manuel,Ganchinho Guedes,5.9,29,703,1,1,2,1,0,1,89.4,139.6,223.0
197,DEF,MID,Fabio Henrique,Tavares,5.3,29,1174,0,0,3,2,0,0,173.6,116.6,59.0
276,DEF,DEF,Robin,Koch,4.5,28,1441,0,0,3,3,0,0,255.4,19.7,54.0
163,DEF,DEF,Tosin,Adarabioyo,4.5,28,991,1,0,2,1,0,1,230.6,20.8,46.0
140,DEF,DEF,Emerson,Leite de Souza Junior,4.9,28,908,0,2,2,1,1,1,155.8,102.5,114.0
137,DEF,DEF,Pervis,Estupiñán,4.5,28,899,0,2,1,3,0,3,162.0,227.9,91.0
62,MID,MID,Christian,Pulisic,5.7,28,579,1,1,2,1,0,0,99.2,139.1,151.0
207,DEF,DEF,Kyle,Walker-Peters,4.4,28,1199,1,0,1,2,0,0,203.0,133.9,94.0
156,DEF,MID,Idrissa,Gueye,4.9,28,960,0,1,3,3,0,1,170.2,76.9,2.0
155,DEF,DEF,Joe,Worrall,4.2,27,959,0,0,3,4,0,2,183.4,30.1,21.0
18,DEF,FWD,Eddie,Nketiah,6.5,27,411,2,0,1,1,0,2,92.4,47.7,273.0
104,DEF,MID,Stuart,Armstrong,4.7,27,750,1,0,0,2,0,2,110.4,170.4,156.0
68,DEF,DEF,Reece,James,5.7,27,610,1,1,1,3,0,5,157.0,162.6,108.0
230,DEF,MID,Tyler,Adams,4.9,27,1302,0,0,3,2,1,0,236.8,225.4,13.0
297,DEF,DEF,Mohammed,Salisu,4.4,27,1505,0,1,1,4,0,2,369.0,84.3,86.0
88,DEF,MID,Cheikhou,Kouyaté,4.5,27,701,1,0,2,2,0,2,128.2,60.5,71.0
182,DEF,MID,Remo,Freuler,4.9,27,1076,0,0,4,3,0,0,142.6,84.3,21.0
192,DEF,DEF,Rasmus,Kristensen,4.8,27,1132,0,1,2,4,0,0,242.0,123.9,92.0
87,DEF,DEF,Mads,Roerslev Rasmussen,4.3,26,701,0,0,3,0,0,0,101.6,83.3,28.0
138,DEF,DEF,Ethan,Pinnock,4.4,26,900,0,0,3,0,0,2,265.0,44.9,136.0
133,DEF,DEF,Liam,Cooper,4.4,26,882,1,0,2,2,0,1,187.4,36.3,88.0
38,MID,MID,Jaidon,Anthony,5.2,26,479,2,0,0,1,0,1,155.0,98.0,153.0
246,DEF,DEF,Chris,Mepham,4.4,25,1341,0,0,3,5,0,4,315.6,25.4,54.0
149,GK,GK,Mark,Travers,4.3,25,945,0,0,2,0,0,1,253.4,0.0,0.0
96,DEF,DEF,Lloyd,Kelly,4.3,25,720,0,2,2,1,0,3,187.4,42.6,10.0
6,DEF,MID,Fábio,Freitas Gouveia Carvalho,5.3,25,331,2,1,0,0,0,0,89.0,35.7,173.0
81,FWD,FWD,Neal,Maupay,6.0,25,677,1,0,2,2,0,3,57.8,70.6,243.0
123,DEF,MID,Boubakary,Soumaré,4.4,25,836,0,0,5,4,0,0,128.4,49.1,1.0
76,DEF,DEF,Seamus,Coleman,4.5,25,651,0,0,2,0,0,0,101.8,34.2,42.0
79,GK,GK,Norberto,Murara Neto,4.5,25,675,0,0,2,2,0,1,177.4,0.0,0.0
152,DEF,MID,Ruben,Loftus-Cheek,5.0,25,952,0,0,4,1,0,0,123.8,129.2,149.0
209,DEF,DEF,Marcos,Senesi,4.5,24,1208,0,0,2,2,0,3,268.0,42.2,16.0
