Country,Most Popular Team,% of search queries against the other Big 4 teams
Georgia,Liverpool F.C.: (12/2/21 - 12/2/22),31
Andorra,Manchester City F.C.: (12/2/21 - 12/2/22),31
Slovenia,Manchester United F.C.: (12/2/21 - 12/2/22),28
Romania,Liverpool F.C.: (12/2/21 - 12/2/22),32
Slovakia,Manchester United F.C.: (12/2/21 - 12/2/22),32
Cook Islands,Manchester United F.C.: (12/2/21 - 12/2/22),100
Belarus,Manchester United F.C.: (12/2/21 - 12/2/22),28
Germany,Liverpool F.C.: (12/2/21 - 12/2/22),34
Canada,Manchester United F.C.: (12/2/21 - 12/2/22),30
New Caledonia,Manchester United F.C.: (12/2/21 - 12/2/22),28
Bahamas,Manchester United F.C.: (12/2/21 - 12/2/22),31
Samoa,Liverpool F.C.: (12/2/21 - 12/2/22),59
Russia,Manchester United F.C.: (12/2/21 - 12/2/22),26
Mongolia,Liverpool F.C.: (12/2/21 - 12/2/22),25
Finland,Liverpool F.C.: (12/2/21 - 12/2/22),31
Ukraine,Liverpool F.C.: (12/2/21 - 12/2/22),25
Czechia,Manchester United F.C.: (12/2/21 - 12/2/22),27
China,Manchester United F.C.: (12/2/21 - 12/2/22),31
Dominican Republic,Manchester United F.C.: (12/2/21 - 12/2/22),34
Estonia,Liverpool F.C.: (12/2/21 - 12/2/22),28
United States of America,Manchester United F.C.: (12/2/21 - 12/2/22),25
U.S. Virgin Islands,Liverpool F.C.: (12/2/21 - 12/2/22),23
Latvia,Manchester United F.C.: (12/2/21 - 12/2/22),28
Japan,Arsenal F.C.: (12/2/21 - 12/2/22),37
Lithuania,Manchester United F.C.: (12/2/21 - 12/2/22),29
Guam,Manchester United F.C.: (12/2/21 - 12/2/22),36
Puerto Rico,Manchester United F.C.: (12/2/21 - 12/2/22),29
Taiwan,Manchester United F.C.: (12/2/21 - 12/2/22),33
Philippines,Manchester United F.C.: (12/2/21 - 12/2/22),27
