Rk,Player,Squad,Gls▼,xG
196,Yves Bissouma,Brighton,1,1.3
197,Jarrad Branthwaite,Everton,1,0.5
198,Dan Burn,Brighton,1,1.6
199,Moisés Caicedo,Brighton,1,1
200,João Cancelo,Manchester City,1,5.1
201,Timothy Castagne,Leicester City,1,0.9
202,Calum Chambers,Aston Villa,1,0.2
203,Séamus Coleman,Everton,1,1.1
204,Jack Cork,Burnley,1,0.8
205,Marc Cucurella,Brighton,1,1
206,Stuart Dallas,Leeds United,1,2.3
207,Ben Davies,Tottenham,1,2.1
208,Tom Davies,Everton,1,0.8
209,Kiernan Dewsbury-Hall,Leicester City,1,1.6
210,Kieran Dowell,Norwich City,1,1.2
211,Shane Duffy,Brighton,1,1.8
212,Lewis Dunk,Brighton,1,1.6
213,Emerson,Tottenham,1,1.8
214,Christian Eriksen,Brentford,1,1.4
215,Jonny Evans,Leicester City,1,0.7
216,Eberechi Eze,Crystal Palace,1,0.6
217,Anwar El Ghazi,Aston Villa,1,1.2
218,Saman Ghoddos,Brentford,1,0.6
219,Dan Gosling,Watford,1,0.2
220,Grant Hanley,Norwich City,1,2.1
221,Kortney Hause,Aston Villa,1,0.2
222,Isaac Hayden,Newcastle Utd,1,0.5
223,Jeff Hendrick,Newcastle Utd,1,0
224,Rob Holding,Arsenal,1,0.4
225,Callum Hudson-Odoi,Chelsea,1,2.5
226,Adam Idah,Norwich City,1,2.2
227,Ben Johnson,West Ham,1,0.3
228,Curtis Jones,Liverpool,1,1.2
229,Mathias Jørgensen,Brentford,1,0.2
230,Hassane Kamara,Watford,1,0.3
231,Max Kilman,Wolves,1,1
232,Mateusz Klich,Leeds United,1,3.8
233,Juraj Kucka,Watford,1,4.1
234,Jamaal Lascelles,Newcastle Utd,1,1.2
235,Pierre Lees-Melou,Norwich City,1,1.7
236,Valentino Livramento,Southampton,1,1.3
237,Shane Long,Southampton,1,1.2
238,Sean Longstaff,Newcastle Utd,1,0.8
239,Matthew Lowton,Burnley,1,0.7
240,Harry Maguire,Manchester Utd,1,2.4
241,Javier Manquillo,Newcastle Utd,1,0.4
242,Anthony Martial,Manchester Utd,1,0.6
243,Arthur Masuaku,West Ham,1,0.1
244,Kenny McLean,Norwich City,1,2.2
245,Scott McTominay,Manchester Utd,1,1.8
246,Tyrone Mings,Aston Villa,1,2.2
247,Jacob Murphy,Newcastle Utd,1,2.7
248,Vitaliy Mykolenko,Everton,1,0.7
249,Tanguy Ndombele,Tottenham,1,0.6
250,Pedro Neto,Wolves,1,2.3
251,Mark Noble,West Ham,1,1.6
252,Mathias Normann,Norwich City,1,1
253,Angelo Ogbonna,West Ham,1,0.4
254,Andrew Omobamidele,Norwich City,1,0.4
255,Nicolas Pépé,Arsenal,1,2.7
256,Ricardo Pereira,Leicester City,1,0.9
257,Ethan Pinnock,Brentford,1,1.6
258,Paul Pogba,Manchester Utd,1,2.8
259,Milot Rashica,Norwich City,1,3.1
260,Nathan Redmond,Southampton,1,2.1
261,Declan Rice,West Ham,1,1.6
262,Connor Roberts,Burnley,1,0.5
263,Tyler Roberts,Leeds United,1,2.4
264,Mads Roerslev,Brentford,1,0.5
265,Cristian Romero,Tottenham,1,0.6
266,Salomón Rondón,Everton,1,2.4
267,Cédric Soares,Arsenal,1,0.7
268,Çağlar Söyüncü,Leicester City,1,1.1
269,John Stones,Manchester City,1,1.1
270,Pascal Struijk,Leeds United,1,1.6
271,Matt Targett,Aston Villa,1,0.8
272,James Tarkowski,Burnley,1,2.8
273,Nuno Tavares,Arsenal,1,2.3
274,Kieran Tierney,Arsenal,1,0.9
275,James Tomkins,Crystal Palace,1,0.7
276,Adama Traoré,Wolves,1,2.7
277,Raphaël Varane,Manchester Utd,1,0.9
278,Joël Veltman,Brighton,1,0.9
279,Nikola Vlašić,West Ham,1,1
280,Kyle Walker-Peters,Southampton,1,1.6
281,Granit Xhaka,Arsenal,1,1.7
282,Andriy Yarmolenko,West Ham,1,1.1
283,Kurt Zouma,West Ham,1,0.9
284,Max Aarons,Norwich City,0,0.9
285,Alisson,Liverpool,0,0
286,Allan,Everton,0,0.3
287,Dele Alli,Everton,0,0.2
288,Steven Alzate,Brighton,0,0.1
289,Daniel Amartey,Leicester City,0,0
290,Joachim Andersen,Crystal Palace,0,0.9
291,Cameron Archer,Aston Villa,0,0.1
292,Alphonse Areola,West Ham,0,0
293,Kepa Arrizabalaga,Chelsea,0,0
294,Harrison Ashby,West Ham,0,0
295,Daniel Bachmann,Watford,0,0
296,Eric Bailly,Manchester Utd,0,0
297,Folarin Balogun,Arsenal,0,0.3
298,Lewis Bate,Leeds United,0,0
299,Mads Bech Sørensen,Brentford,0,0.1
300,Asmir Begović,Everton,0,0
301,Rodrigo Bentancur,Tottenham,0,1.1
302,Jóhann Berg Guðmundsson,Burnley,0,1.8
303,Ryan Bertrand,Leicester City,0,0
304,Mads Bidstrup,Brentford,0,0
305,Willy Boly,Wolves,0,0.2
306,Lewis Brunt,Leicester City,0,0
307,Bryan,Tottenham,0,0.2
308,Dan Burn,Newcastle Utd,0,0.9
309,Jack Butland,Crystal Palace,0,0
310,Sam Byram,Norwich City,0,0.8
311,Willy Caballero,Southampton,0,0
312,Chem Campbell,Wolves,0,0
313,Todd Cantwell,Norwich City,0,0.2
314,Craig Cathcart,Watford,0,0.2
315,Kayky Chagas,Manchester City,0,0
316,Calum Chambers,Arsenal,0,0.1
317,Daniel Chesters,West Ham,0,0
318,Chiquinho,Wolves,0,0.4
319,Hamza Choudhury,Leicester City,0,0
320,Andreas Christensen,Chelsea,0,0.4
321,Carney Chukwuemeka,Aston Villa,0,0.6
322,Ciaran Clark,Newcastle Utd,0,1.3
323,Tom Cleverley,Watford,0,0.9
324,Nathaniel Clyne,Crystal Palace,0,0.1
325,Aaron Connolly,Brighton,0,0.3
326,Liam Cooper,Leeds United,0,0.4
327,Hélder Costa,Leeds United,0,0
328,Vladimír Coufal,West Ham,0,1
329,Charlie Cresswell,Leeds United,0,0.1
330,Luke Cundle,Wolves,0,0
331,Diogo Dalot,Manchester Utd,0,0.7
